1	1F600	😀
2	1F603	😃
3	1F604	😄
4	1F601	😁
5	1F606	😆
6	1F605	😅
7	1F923	🤣
8	1F602	😂
9	1F642	🙂
10	1F643	🙃
11	1F609	😉
12	1F60A	😊
13	1F607	😇
face-affection		
№	Code	Browser
14	1F970	🥰
15	1F60D	😍
16	1F929	🤩
17	1F618	😘
18	1F617	😗
19	263A	☺
20	1F61A	😚
21	1F619	😙
22	1F972	🥲
face-tongue		
№	Code	Browser
23	1F60B	😋
24	1F61B	😛
25	1F61C	😜
26	1F92A	🤪
27	1F61D	😝
28	1F911	🤑
face-hand		
№	Code	Browser
29	1F917	🤗
30	1F92D	🤭
31	1F92B	🤫
32	1F914	🤔
face-neutral-skeptical		
№	Code	Browser
33	1F910	🤐
34	1F928	🤨
35	1F610	😐
36	1F611	😑
37	1F636	😶
38	1F636 200D 1F32B FE0F	😶‍🌫️
39	1F60F	😏
40	1F612	😒
41	1F644	🙄
42	1F62C	😬
43	1F62E 200D 1F4A8	😮‍💨
44	1F925	🤥
face-sleepy		
№	Code	Browser
45	1F60C	😌
46	1F614	😔
47	1F62A	😪
48	1F924	🤤
49	1F634	😴
face-unwell		
№	Code	Browser
50	1F637	😷
51	1F912	🤒
52	1F915	🤕
53	1F922	🤢
54	1F92E	🤮
55	1F927	🤧
56	1F975	🥵
57	1F976	🥶
58	1F974	🥴
59	1F635	😵
60	1F635 200D 1F4AB	😵‍💫
61	1F92F	🤯
face-hat		
№	Code	Browser
62	1F920	🤠
63	1F973	🥳
64	1F978	🥸
face-glasses		
№	Code	Browser
65	1F60E	😎
66	1F913	🤓
67	1F9D0	🧐
face-concerned		
№	Code	Browser
68	1F615	😕
69	1F61F	😟
70	1F641	🙁
71	2639	☹
72	1F62E	😮
73	1F62F	😯
74	1F632	😲
75	1F633	😳
76	1F97A	🥺
77	1F626	😦
78	1F627	😧
79	1F628	😨
80	1F630	😰
81	1F625	😥
82	1F622	😢
83	1F62D	😭
84	1F631	😱
85	1F616	😖
86	1F623	😣
87	1F61E	😞
№	Code	Browser
88	1F613	😓
89	1F629	😩
90	1F62B	😫
91	1F971	🥱
face-negative		
№	Code	Browser
92	1F624	😤
93	1F621	😡
94	1F620	😠
